,time,average,price
0,2021-5-10-1,0.09077490459302327,0.491483
1,2021-5-10-2,0.07867848999065712,0.541771
2,2021-5-10-3,0.08204639114159348,0.563822
3,2021-5-10-4,0.07460836054250643,0.587511
4,2021-5-10-5,0.07956005096879024,0.566575
5,2021-5-10-6,0.09445813974721234,0.550847
6,2021-5-10-7,0.1126935669230537,0.585159
7,2021-5-10-8,0.11672665918457724,0.570697
8,2021-5-10-9,0.1408500378407806,0.565286
9,2021-5-10-10,0.1820783913566361,0.5680350000000001
10,2021-5-10-11,0.17182111572874575,0.5422560000000001
11,2021-5-10-12,0.1591378911839846,0.523263
12,2021-5-10-13,0.1499098206657641,0.544924
13,2021-5-10-14,0.14258942410312983,0.528122
14,2021-5-10-15,0.1395714361006136,0.540396
15,2021-5-10-16,0.14371053000334813,0.549276
16,2021-5-10-17,0.13345834092414266,0.532937
17,2021-5-10-18,0.1294551355529226,0.518746
18,2021-5-10-19,0.13162207615943225,0.512107
19,2021-5-10-20,0.11848241959569482,0.512302
20,2021-5-10-21,0.11823283277067946,0.514731
21,2021-5-10-22,0.12779965650608197,0.503583
22,2021-5-10-23,0.11146566160859127,0.49866099999999997
35,2021-5-6-12,0.14244633891501085,0.6224390000000001
36,2021-5-6-13,0.13697813947634563,0.6173420000000001
37,2021-5-6-14,0.1153200689844465,0.614646
38,2021-5-6-15,0.11879505216049382,0.597777
39,2021-5-6-16,0.11721085000979431,0.6117130000000001
40,2021-5-6-17,0.14508830540979512,0.608288
41,2021-5-6-18,0.12082123146087034,0.6003470000000001
42,2021-5-6-19,0.0919076119558992,0.599986
43,2021-5-6-20,0.08244738095450291,0.613785
44,2021-5-6-21,0.04851705439567512,0.602035
45,2021-5-6-22,0.09694209316395222,0.592461
46,2021-5-6-23,0.09242509635814812,0.609005
48,2021-5-7-1,0.09467062093593004,0.6006859999999999
49,2021-5-7-2,0.08414149719944726,0.5958640000000001
50,2021-5-7-3,0.09647730575733689,0.553244
51,2021-5-7-4,0.08792616775510204,0.574855
52,2021-5-7-5,0.08125194865973742,0.60082
53,2021-5-7-6,0.09415622673592454,0.588468
54,2021-5-7-7,0.1041767355680097,0.5861729999999999
55,2021-5-7-8,0.10063513036589301,0.579865
56,2021-5-7-9,0.1078925937377857,0.565673
57,2021-5-7-10,0.11892017060836965,0.550319
58,2021-5-7-11,0.1334369027689292,0.521895
59,2021-5-7-12,0.1377706246068025,0.588309
60,2021-5-7-13,0.13906400293404664,0.577946
61,2021-5-7-14,0.11918153461212977,0.571275
62,2021-5-7-15,0.10879557882218749,0.593013
63,2021-5-7-16,0.11759726857174443,0.637559
64,2021-5-7-17,0.16922601627301923,0.618341
65,2021-5-7-18,0.1598052399897637,0.614863
66,2021-5-7-19,0.10994973728941415,0.626426
67,2021-5-7-20,0.09543503687658668,0.618942
68,2021-5-7-21,0.08523217484515826,0.602871
69,2021-5-7-22,0.09370931664530084,0.61105
70,2021-5-7-23,0.08624829758890898,0.603321
72,2021-5-8-1,0.10115505741269493,0.6114310000000001
73,2021-5-8-2,0.0911148804929748,0.611574
74,2021-5-8-3,0.10314809426387403,0.626718
75,2021-5-8-4,0.09639256142662839,0.637795
76,2021-5-8-5,0.0959677990504822,0.6405890000000001
77,2021-5-8-6,0.11492227995349558,0.667602
78,2021-5-8-7,0.1081608287905657,0.72232
79,2021-5-8-8,0.10421560575294579,0.686811
80,2021-5-8-9,0.15482578597285068,0.678669
81,2021-5-8-10,0.12542214001936858,0.687999
82,2021-5-8-11,0.12395646316114824,0.695866
83,2021-5-8-12,0.10218929788993228,0.709263
84,2021-5-8-13,0.09692265639897181,0.719454
85,2021-5-8-14,0.102033409124782,0.725002
86,2021-5-8-15,0.10063945483081296,0.719921
87,2021-5-8-16,0.08886225069137739,0.7008439999999999
88,2021-5-8-17,0.08204797884960079,0.704257
89,2021-5-8-18,0.11282992930670004,0.708595
90,2021-5-8-19,0.10914493886881872,0.711534
91,2021-5-8-20,0.09324525200047916,0.7173579999999999
92,2021-5-8-21,0.09108593463143817,0.724658
93,2021-5-8-22,0.08776676709764084,0.707599
94,2021-5-8-23,0.09050926655529458,0.716813
96,2021-5-9-1,0.0836184284403095,0.657138
97,2021-5-9-2,0.07932735733716652,0.671886
98,2021-5-9-3,0.08738447208630441,0.657269
99,2021-5-9-4,0.090410496874426,0.678396
100,2021-5-9-5,0.13171134465811965,0.681577
101,2021-5-9-6,0.11811330540573117,0.654606
102,2021-5-9-7,0.11763222473640271,0.64368
103,2021-5-9-8,0.11492812906650207,0.633177
104,2021-5-9-9,0.12205264589043952,0.668855
105,2021-5-9-10,0.11154508890231275,0.6653319999999999
106,2021-5-9-11,0.10190693406865031,0.62963
107,2021-5-9-12,0.10253190444537816,0.6608229999999999
108,2021-5-9-13,0.0991192634021308,0.562699
109,2021-5-9-14,0.09701985974597416,0.564254
110,2021-5-9-15,0.1043119300924066,0.540529
111,2021-5-9-16,0.10876108743173886,0.530395
112,2021-5-9-17,0.09873757382495948,0.5293859999999999
113,2021-5-9-18,0.10629186832381446,0.49163599999999996
114,2021-5-9-19,0.09252121654727197,0.488009
115,2021-5-9-20,0.08223128064373703,0.479049
116,2021-5-9-21,0.09120414067526882,0.451531
117,2021-5-9-22,0.07642297446644711,0.483574
118,2021-5-9-23,0.09422439752386036,0.48452
120,2021-5-11-1,0.09395838162311124,0.4993
121,2021-5-11-2,0.09806147053917647,0.48558999999999997
122,2021-5-11-3,0.11219331842480398,0.467765
123,2021-5-11-4,0.1200463933349491,0.45568400000000003
124,2021-5-11-5,0.14582774124517062,0.455309
125,2021-5-11-6,0.11914279854663509,0.47598900000000005
126,2021-5-11-7,0.1346338481684046,0.456113
127,2021-5-11-8,0.10244196015188677,0.449399
128,2021-5-11-9,0.1251482282396233,0.464114
129,2021-5-11-10,0.11647933096921217,0.45628100000000005
130,2021-5-11-11,0.11889737753322929,0.45820200000000005
131,2021-5-11-12,0.10778431529324099,0.46390200000000004
132,2021-5-11-13,0.10181800098500557,0.48445200000000005
133,2021-5-11-14,0.14881731821881358,0.470638
134,2021-5-11-15,0.13618005315222148,0.476516
135,2021-5-11-16,0.09707280900450789,0.46371599999999996
136,2021-5-11-17,0.10297097073229004,0.522788
137,2021-5-11-18,0.11042727302227678,0.522871
138,2021-5-11-19,0.09511204885670732,0.503699
139,2021-5-11-20,0.08540672275010465,0.507744
140,2021-5-11-21,0.09565758920128488,0.492008
141,2021-5-11-22,0.09448037996674673,0.490468
142,2021-5-11-23,0.11431437667747653,0.504854
144,2021-5-12-1,0.08597049692622952,0.493359
145,2021-5-12-2,0.09056119128344223,0.500901
146,2021-5-12-3,0.11146451608776789,0.504683
147,2021-5-12-4,0.09641462324850482,0.508791
148,2021-5-12-5,0.10810688660532008,0.5140520000000001
149,2021-5-12-6,0.09941277904360483,0.502758
150,2021-5-12-7,0.09065609835890118,0.502476
151,2021-5-12-8,0.13686666822196447,0.49487
152,2021-5-12-9,0.13331301642240354,0.492751
153,2021-5-12-10,0.12418217175663349,0.500494
154,2021-5-12-11,0.11061903858221105,0.493752
155,2021-5-12-12,0.11724019202349094,0.491133
156,2021-5-12-13,0.07284133000918275,0.492882
157,2021-5-12-14,0.10778619241104558,0.493542
158,2021-5-12-15,0.0996070127383337,0.499943
159,2021-5-12-16,0.10829344906672712,0.508953
160,2021-5-12-17,0.1688127819480846,0.50439
161,2021-5-12-18,0.1608729577654867,0.500378
162,2021-5-12-19,0.11452277647287275,0.493062
163,2021-5-12-20,0.12566807145873088,0.496949
164,2021-5-12-21,0.11810872904885283,0.49443400000000004
165,2021-5-12-22,0.1197077560416052,0.49195600000000006
166,2021-5-12-23,0.12036176156189604,0.48958500000000005
168,2021-5-13-1,0.11942942328954313,0.45332700000000004
169,2021-5-13-2,0.12499017376311844,0.46753100000000003
170,2021-5-13-3,0.13220705281554587,0.436321
171,2021-5-13-4,0.1822869399827417,0.463736
172,2021-5-13-5,0.1683791468550346,0.467609
173,2021-5-13-6,0.2956821465345929,0.46821999999999997
174,2021-5-13-7,0.25097218825656586,0.45199399999999995
175,2021-5-13-8,0.18509168508354307,0.43163100000000004
176,2021-5-13-9,0.1512366195952086,0.420587
177,2021-5-13-10,0.13236889656900697,0.429331
178,2021-5-13-11,0.12184199871356173,0.44942299999999996
179,2021-5-13-12,0.12405623213978914,0.429522
180,2021-5-13-13,0.11084003756017843,0.44334399999999996
181,2021-5-13-14,0.13099493400284964,0.44163
182,2021-5-13-15,0.15201809564201324,0.43823599999999996
183,2021-5-13-16,0.19623797855073682,0.431745
184,2021-5-13-17,0.19346059721036038,0.418163
185,2021-5-13-18,0.14271038587601323,0.394687
186,2021-5-13-19,0.1426274702115019,0.401156
187,2021-5-13-20,0.1114466516002962,0.39763899999999996
188,2021-5-13-21,0.11180153413749543,0.40881
189,2021-5-13-22,0.11541561839656406,0.418649
190,2021-5-13-23,0.07865691612326932,0.427158
192,2021-5-14-1,0.10603450624087823,0.412554
193,2021-5-14-2,0.11586496542362677,0.38925
194,2021-5-14-3,0.113660898826807,0.38403699999999996
